Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.68711656709369,-1.23844537147091,-1.93252776619296,0,0,0
1,-9.68648423572263,-1.23396673358732,-1.93252198766622,0,0,0
2,-9.68308695298598,-1.23604911628005,-1.93623419069597,0,0,0
3,-9.68404831628295,-1.24076596995927,-1.93773346149018,0,0,0
4,-9.68325423584775,-1.23999015713832,-1.94293809975104,0,0,0
5,-9.68482858516793,-1.24000499048889,-1.94294140543967,0,0,0
6,-9.68466754830619,-1.23988866440318,-1.94442651054842,0,0,0
7,-9.68574550576484,-1.24087042826593,-1.94666608769546,0,0,0
8,-9.68555879129395,-1.24531834972467,-1.94369392174368,0,0,0
9,-9.6832633944663,-1.2430524694587,-1.94517457688488,0,0,0
10,-9.68397817769132,-1.2430080853294,-1.95112645812078,0,0,0
11,-9.68390572672162,-1.24371924752565,-1.9474066742567,0,0,0
12,-9.68314822989005,-1.24067824817036,-1.95260854317799,0,0,0
13,-9.68398062757591,-1.23995482455619,-1.95632951366202,0,0,0
14,-9.68093387198496,-1.23999847643952,-1.95186104915998,0,0,0
15,-9.68339436458017,-1.24161929219983,-1.94368669615747,0,0,0
16,-9.6839649605503,-1.23917800360505,-1.93847371115778,0,0,0
17,-9.68403089367549,-1.24228151649786,-1.94219902638747,0,0,0
18,-9.68404657025692,-1.24152918331427,-1.94442996818259,0,0,0
19,-9.68403669807357,-1.24228604990261,-1.94591879659061,0,0,0
20,-9.68413630719062,-1.24388666355654,-1.95559391762554,0,0,0
21,-9.68399430243454,-1.24607582293002,-1.95782666287445,0,0,0
22,-9.68405062862898,-1.24229693007402,-1.95484624507813,0,0,0
23,-9.68296745209186,-1.24207570651102,-1.95707128388757,0,0,0
24,-9.68087419334963,-1.24071960051367,-1.95632475078694,0,0,0
25,-9.68393895484181,-1.23839624881084,-1.94888720257008,0,0,0
26,-9.68347668686793,-1.24015129857669,-1.94591765443214,0,0,0
27,-9.6843477387807,-1.24327456074202,-1.94369345876378,0,0,0
28,-9.68401418403017,-1.23997788413746,-1.94293928574197,0,0,0
29,-9.68426205921287,-1.24168485317245,-1.94294579488417,0,0,0
30,-9.6839897960255,-1.24148799799027,-1.94294112640451,0,0,0
31,-9.68401418403017,-1.23997788413746,-1.94293928574197,0,0,0
32,-9.68394753769805,-1.24069356493898,-1.94293927237146,0,0,0
33,-9.68610627822812,-1.24133306041203,-1.94294188327567,0,0,0
34,-9.68396540802083,-1.24299811184308,-1.94294296706706,0,0,0
35,-9.68371333751088,-1.24510767750309,-1.94442989835588,0,0,0
36,-9.68373785534244,-1.24054240256202,-1.94814320288852,0,0,0
37,-9.6840988286661,-1.23851169045136,-1.94665814899742,0,0,0
38,-9.68321662175708,-1.23919934339817,-1.94591205940466,0,0,0
39,-9.68630590084429,-1.23231075513755,-1.94218781977793,0,0,0
40,-9.69009260861037,-1.23987879344997,-1.94220481993719,0,0,0
41,-9.68698675241397,-1.23987943886589,-1.93475960833507,0,0,0
42,-9.68919355489971,-1.24131790172887,-1.93848384224153,0,0,0
43,-9.68473058493077,-1.24222534183236,-1.93847951033377,0,0,0
44,-9.68389063529912,-1.24370746068307,-1.93773527974879,0,0,0
45,-9.68552711512019,-1.23994789805228,-1.93847793533087,0,0,0
46,-9.68342617500524,-1.24240554477138,-1.93699295577936,0,0,0
47,-9.6840594774021,-1.23695493639012,-1.94070374322041,0,0,0
48,-9.68392270254739,-1.23838355529332,-1.93847185895708,0,0,0
49,-9.68402521715337,-1.23922192053048,-1.94219441167854,0,0,0
50,-9.68396960406492,-1.23918163032584,-1.94144952485253,0,0,0
51,-9.68396392842561,-1.23612198903361,-1.94144491039706,0,0,0
52,-9.68394941254743,-1.2368752400003,-1.93995792450692,0,0,0
53,-9.68392618518191,-1.23838627533279,-1.94070371830272,0,0,0
54,-9.68549704977191,-1.23839839699641,-1.93847516280197,0,0,0
55,-9.68480710418841,-1.24075279026772,-1.93699069344142,0,0,0
56,-9.6832361090887,-1.24379573583278,-1.93550409468349,0,0,0
57,-9.68388379842552,-1.24064693491268,-1.93698671374752,0,0,0
58,-9.68474813537558,-1.23765470268097,-1.93772910305252,0,0,0
59,-9.68708856219205,-1.24453694079488,-1.94220746470884,0,0,0
60,-9.68856271586194,-1.2437152648443,-1.93997612087029,0,0,0
61,-9.68628519126594,-1.24375389723799,-1.94146047097596,0,0,0
62,-9.68629970696776,-1.24300065737345,-1.94294745873045,0,0,0
63,-9.68479664685865,-1.24227377689201,-1.94591998258247,0,0,0
64,-9.68477877572913,-1.23996923785889,-1.94591628666151,0,0,0
