Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.81978307005787,-1.51084121271163,-0.361837205766242,0,0,0
1,-9.82735522003807,-1.51069291398804,-0.359617089917105,0,0,0
2,-9.8273290672168,-1.5129673767367,-0.366315152704176,0,0,0
3,-9.82112682490194,-1.51448052436747,-0.362587062653121,0,0,0
4,-9.81660584437757,-1.51766272436525,-0.358864852240621,0,0,0
5,-9.81509361998707,-1.51846280454952,-0.356631840222081,0,0,0
6,-9.81662035959774,-1.51844370036945,-0.36109774747359,0,0,0
7,-9.81745227452883,-1.51696713111439,-0.361841430283005,0,0,0
8,-9.82038668188893,-1.51911676618155,-0.362592234638807,0,0,0
9,-9.8202612014438,-1.52513382548189,-0.359623704911687,0,0,0
10,-9.81336704692029,-1.52595686028641,-0.361845302744583,0,0,0
11,-9.80425071035084,-1.53071424962501,-0.350678589654483,0,0,0
12,-9.79975179861706,-1.52777987006646,-0.343228765524589,0,0,0
13,-9.79823784708222,-1.52627440217476,-0.346200042306795,0,0,0
14,-9.80426176484835,-1.52842337066629,-0.349187779512894,0,0,0
15,-9.80663028062339,-1.52617035433109,-0.352908594537931,0,0,0
16,-9.81575533144331,-1.52526312986227,-0.349202290092713,0,0,0
17,-9.81648733691135,-1.52675899175162,-0.346973548898861,0,0,0
18,-9.829386826704,-1.52499665710698,-0.34922323088241,0,0,0
19,-9.82637805513284,-1.52583937700904,-0.361866294564952,0,0,0
20,-9.8195930976628,-1.5252363438817,-0.35887942375746,0,0,0
21,-9.81498497354349,-1.52679713545149,-0.35813002038131,0,0,0
22,-9.80963092173452,-1.52685119238556,-0.35068228699215,0,0,0
23,-9.81793102205272,-1.53049979595239,-0.337309527097857,0,0,0
24,-9.82777296907602,-1.53414104413292,-0.338073668546944,0,0,0
25,-9.82928404097621,-1.53027572725962,-0.323192588885632,0,0,0
26,-9.82937291950714,-1.5234558692677,-0.324671954451311,0,0,0
27,-9.83027978503484,-1.51821298617217,-0.334338077391335,0,0,0
28,-9.81802863979992,-1.5244610392089,-0.322423894700142,0,0,0
