Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.84988045693872,-0.546213318132992,-0.580903082489866,0,0,0
1,-9.86856740015091,-0.533570740247878,-0.569755892872902,0,0,0
2,-9.85455201764311,-0.522531818393196,-0.587575308540617,0,0,0
3,-9.86399197013883,-0.518037498366064,-0.603952346076117,0,0,0
4,-9.89179617865345,-0.516671735594878,-0.628543215126078,0,0,0
5,-9.8886437631133,-0.516721004764993,-0.647136315774314,0,0,0
6,-9.87605654524932,-0.514718213810499,-0.654554397355104,0,0,0
7,-9.8730636602133,-0.517852194500715,-0.678359999053962,0,0,0
8,-9.87943623651722,-0.511101845210986,-0.691009538114363,0,0,0
9,-9.88680939600671,-0.510047187989439,-0.680603567274855,0,0,0
10,-9.90206319342879,-0.501477343772261,-0.675409144369987,0,0,0
11,-9.9080804370471,-0.493051013684953,-0.685822527032289,0,0,0
12,-9.88400700449464,-0.50109511406509,-0.701418669786294,0,0,0
13,-9.90099129190824,-0.49161291145705,-0.691759940782339,0,0,0
14,-9.89834249162176,-0.493997507345495,-0.693248285399349,0,0,0
15,-9.8661861902932,-0.494458041305488,-0.676086545684563,0,0,0
16,-9.8645077399565,-0.484794032466848,-0.660450977548217,0,0,0
17,-9.86312810774256,-0.466585512834881,-0.635131560491559,0,0,0
18,-9.84676771317183,-0.484925680562299,-0.6105781751687,0,0,0
19,-9.84915149019041,-0.475029162054348,-0.575604347650525,0,0,0
20,-9.84631704299125,-0.472891040599922,-0.565926642636954,0,0,0
21,-9.97722566416836,-0.402730654744396,-0.550423016213283,0,0,0
22,-10.1932142219245,-0.381788643113194,-0.478575955869115,0,0,0
23,-10.1181452579397,-0.379308553723374,-0.544665083923305,0,0,0
24,-9.86388029994225,-0.505724855184304,-0.549628074584388,0,0,0
25,-9.95297952003982,-0.443856274321565,-0.493896439952711,0,0,0
26,-10.0235672070118,-0.361283822166203,-0.60624037493929,0,0,0
27,-9.69601352109684,-0.526076314935009,-0.672139369132339,0,0,0
28,-9.99773222296784,-0.514341527772627,-0.618293832604884,0,0,0
29,-10.3081591203731,-0.383901242754522,-0.605230739108456,0,0,0
30,-10.0877957442098,-0.459813322393944,-0.56629093838863,0,0,0
31,-10.0656971133283,-0.468445512130643,-0.522374618889558,0,0,0
32,-10.2419765516778,-0.4808180464502,-0.57995267471662,0,0,0
33,-10.3026422112885,-0.445931870725714,-0.527185856695071,0,0,0
34,-10.2049530845139,-0.426371286210034,-0.562716166138263,0,0,0
35,-10.0819102695661,-0.377784237035208,-0.568412754481064,0,0,0
36,-9.63917460083009,-0.504943781806567,-0.510587719930233,0,0,0
37,-9.95792441646213,-0.372098130248978,-0.568208776396126,0,0,0
38,-10.5161752471922,-0.52242024955645,-0.611682732070923,0,0,0
39,-10.1709129351623,-0.707502491294401,-0.4975435927014,0,0,0
40,-9.91180401823522,-0.812110865020058,-0.48908123304795,0,0,0
41,-10.1257899442984,-0.384661251800133,-0.719509719441961,0,0,0
42,-10.373403911041,-0.0526861635285931,-1.04533538323479,0,0,0
43,-10.3148374548594,-0.617583486988698,-1.05264082725012,0,0,0
44,-10.4214412998659,-0.589357696716314,-1.00739292198685,0,0,0
45,-9.88324871163791,-0.73115912289229,-1.16815539285332,0,0,0
46,-10.0890657644597,-1.01486716085792,-1.31910799660625,0,0,0
47,-11.0027159581024,0.215293019937771,-1.35175701277565,0,0,0
48,-9.67481465288535,-0.593107351792889,-1.60062730937921,0,0,0
