Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.77273474817035,-0.762362772676269,-1.41264369636898,0,0,0
1,-9.76740420114523,-0.778673357959697,-1.42177154336567,0,0,0
2,-9.78191485224379,-0.765379711068171,-1.43429825104683,0,0,0
3,-9.79226232574969,-0.745011500336141,-1.45000586912426,0,0,0
4,-9.7902044501735,-0.726802849425899,-1.45363642278871,0,0,0
5,-9.79027437883605,-0.715296766444591,-1.455015425776,0,0,0
6,-9.78504595856523,-0.71786051342072,-1.43802664678737,0,0,0
7,-9.77343874346488,-0.728564979286338,-1.4379900933849,0,0,0
8,-9.77488017035654,-0.733863027030786,-1.41794502826233,0,0,0
9,-9.7743915584901,-0.72654743956466,-1.41508559610588,0,0,0
10,-9.77902986924394,-0.711886739984658,-1.41569252195255,0,0,0
11,-9.77915729510265,-0.703597891199301,-1.38670157823645,0,0,0
12,-9.7776812769342,-0.702919445285088,-1.38226646612037,0,0,0
13,-9.77517136398384,-0.71190186000347,-1.3777472334812,0,0,0
14,-9.78033667000859,-0.724758781173547,-1.36295626771359,0,0,0
15,-9.78698867955014,-0.729802585014245,-1.34728804163908,0,0,0
16,-9.78975824156421,-0.741729107995487,-1.34873209425304,0,0,0
17,-9.78843714328776,-0.741254845586913,-1.3696847601978,0,0,0
18,-9.78642193644285,-0.725430700351467,-1.37486922947457,0,0,0
19,-9.78431299135516,-0.716391467072605,-1.41499408976648,0,0,0
20,-9.78572215607824,-0.722373642724807,-1.43133817751807,0,0,0
21,-9.78468905285092,-0.737447164418672,-1.43727502437009,0,0,0
22,-9.78696990824122,-0.740499660927764,-1.44475301494208,0,0,0
23,-9.78002932515333,-0.745858654377587,-1.45885139230257,0,0,0
24,-9.78531675222398,-0.755777927916596,-1.46640576602823,0,0,0
25,-9.7798459105807,-0.764133854018377,-1.47976629244837,0,0,0
26,-9.78284469962709,-0.765583254293704,-1.46935814745858,0,0,0
27,-9.7766136482886,-0.766216971690185,-1.47814979013888,0,0,0
28,-9.78149496829616,-0.751147769960785,-1.4789457457142,0,0,0
29,-9.77878856208122,-0.735417117922757,-1.50350233495334,0,0,0
30,-9.77439303665918,-0.720260245339277,-1.50118170184006,0,0,0
31,-9.77395439121758,-0.709923417933385,-1.49906263609514,0,0,0
