Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.66690205917796,-2.48414092874812,-1.79330747982793,0,0,0
1,-9.72864380441806,-2.46184699355932,-1.64906288837469,0,0,0
2,-9.85895670693875,-2.4869500194181,-1.61210727328377,0,0,0
3,-9.92322247183784,-2.40502536741594,-1.61879999688035,0,0,0
4,-9.68802043930661,-2.35152565233934,-1.6845698013129,0,0,0
5,-9.57652362314486,-2.39112970277216,-1.69188250531129,0,0,0
6,-9.6275853094357,-2.41508539428726,-1.58561505166642,0,0,0
7,-9.54925399043312,-2.51304762564403,-1.59453924942551,0,0,0
8,-9.47762353974622,-2.53241919997941,-1.67553419070878,0,0,0
9,-9.49406539238749,-2.45052481447393,-1.67843247868335,0,0,0
10,-9.49395101485372,-2.41811129053482,-1.70591750860858,0,0,0
11,-9.49615018754052,-2.43025556142244,-1.77958184877362,0,0,0
12,-9.47597409049554,-2.45933787903805,-1.83240204421607,0,0,0
13,-9.46985711707566,-2.4248106895457,-1.93500708016882,0,0,0
14,-9.44812683855424,-2.37090116795233,-2.02938129239983,0,0,0
15,-9.41881853197432,-2.35635274050048,-2.13122892469891,0,0,0
16,-9.39958264222385,-2.3863049337083,-2.25769901645443,0,0,0
17,-9.38328023658403,-2.41616119942404,-2.39086584697676,0,0,0
18,-9.37700188299383,-2.44666475814,-2.47644594839235,0,0,0
19,-9.36737846256582,-2.47552098864448,-2.49952538797512,0,0,0
20,-9.36757994985806,-2.50875584995926,-2.51072447339919,0,0,0
21,-9.37898844565775,-2.51009827129467,-2.50851352271801,0,0,0
22,-9.39905369863151,-2.4863106860712,-2.48917331336989,0,0,0
23,-9.40938988310285,-2.46276180771626,-2.49065018973753,0,0,0
24,-9.40919373182348,-2.47028566672513,-2.49288887938275,0,0,0
25,-9.39808563494489,-2.50221805208555,-2.49514377264314,0,0,0
26,-9.38078738093134,-2.53800012945925,-2.4899536836627,0,0,0
27,-9.37599649912864,-2.56157697645248,-2.50931984969336,0,0,0
28,-9.37594819070545,-2.55622081356893,-2.49815156628551,0,0,0
29,-9.38026912060005,-2.52134059170305,-2.42298347229592,0,0,0
30,-9.39891173146107,-2.48009019430514,-2.36047039269738,0,0,0
31,-9.42065189600105,-2.45328893365302,-2.30988935938222,0,0,0
32,-9.42594227084148,-2.45316850262878,-2.26675250887323,0,0,0
33,-9.42728925229916,-2.45228059856025,-2.22286087982199,0,0,0
34,-9.42662011635166,-2.44471123605762,-2.20276521440052,0,0,0
35,-9.44054436161668,-2.42402166461013,-2.14994487207548,0,0,0
36,-9.42547751138278,-2.41438418311999,-2.05692461646602,0,0,0
37,-9.45367349377782,-2.39412185822708,-1.95577240144002,0,0,0
38,-9.29503813796813,-2.43366346268751,-1.86258688879087,0,0,0
39,-9.29216550611815,-2.40707170312976,-1.72046414652499,0,0,0
40,-9.14627910036521,-2.44254308266045,-1.67861668992818,0,0,0
41,-9.57372064179103,-2.46597177298725,-1.76858901284781,0,0,0
42,-9.60440994184082,-2.49186462402941,-1.69502544582201,0,0,0
43,-9.57287873324566,-2.48043465311565,-1.81472871320495,0,0,0
44,-9.55469065004458,-2.51459683213339,-1.71059696806416,0,0,0
45,-9.72625326154324,-2.52853250824313,-1.77932397795208,0,0,0
46,-9.68289051114936,-2.53989204212243,-1.83059917811609,0,0,0
47,-9.58102577951806,-2.53463904278135,-1.78058907555152,0,0,0
48,-9.53576547790474,-2.51039277933582,-1.75891364855271,0,0,0
49,-9.50647278666614,-2.49122882413352,-1.74917356871073,0,0,0
50,-9.50677526744489,-2.4845279788928,-1.77297329634413,0,0,0
51,-9.50856693023212,-2.46865844515253,-1.80791881591366,0,0,0
52,-9.51153152409847,-2.46630480332036,-1.83618564720274,0,0,0
53,-9.50720185198987,-2.45964564960966,-1.86295229745539,0,0,0
54,-9.48929097269396,-2.44411194958167,-1.88224673644816,0,0,0
55,-9.46503570278137,-2.44376153700722,-1.86286817320535,0,0,0
56,-9.46803809205946,-2.44295505344857,-1.90601561625542,0,0,0
57,-9.45892943866853,-2.45762464585073,-2.01091052935814,0,0,0
58,-9.45406245481229,-2.47507051659123,-2.01836268746499,0,0,0
59,-9.45457810605815,-2.49245548844583,-2.0168981720231,0,0,0
60,-9.4809938774007,-2.49575008112987,-2.01619764501298,0,0,0
61,-9.47152946679926,-2.47475615947197,-1.96259926036934,0,0,0
62,-9.4830970231582,-2.49560053131862,-1.9529680043045,0,0,0
63,-9.48096863453395,-2.48504186358615,-1.94030527612719,0,0,0
64,-9.46592110450161,-2.5306625452554,-1.91876844295996,0,0,0
65,-9.46438754221106,-2.5322320815721,-1.97530250461067,0,0,0
66,-9.44417356266015,-2.51138480525507,-1.97449990183827,0,0,0
67,-9.44820423799822,-2.50840559693978,-2.01690711648298,0,0,0
68,-9.43626423000881,-2.49271428961843,-2.01686788729364,0,0,0
69,-9.42987400260164,-2.51477371004893,-2.06895714031419,0,0,0
70,-9.42192717592152,-2.49986271483336,-2.05182062798481,0,0,0
71,-9.43252404789239,-2.53584738472843,-2.0384878107924,0,0,0
72,-9.43632391705941,-2.53196032530662,-1.99980637935991,0,0,0
73,-9.47659240446336,-2.53816927767323,-2.01847682220293,0,0,0
74,-9.47072531410599,-2.5200670789312,-1.96637224621637,0,0,0
75,-9.4894316322674,-2.52797694778308,-1.91656899967635,0,0,0
76,-9.50359974031875,-2.53597692586446,-1.88014889426028,0,0,0
77,-9.51379616690273,-2.5736842413882,-1.91368959341906,0,0,0
78,-9.50037175665038,-2.56109344448698,-1.94266466764767,0,0,0
79,-9.48975897973865,-2.56054521369466,-2.00066949077059,0,0,0
80,-9.46000170408662,-2.53927734481877,-2.05713629982244,0,0,0
81,-9.42473221430762,-2.51117171129796,-2.14333414717846,0,0,0
82,-9.38627402261945,-2.49975812945977,-2.15665105711447,0,0,0
83,-9.37542622315422,-2.50591277044746,-2.13432290995916,0,0,0
84,-9.36736210217918,-2.48485065236435,-2.10378420981774,0,0,0
85,-9.36826856105933,-2.46811752656688,-2.02565572184569,0,0,0
86,-9.37771425168731,-2.44524444108644,-1.95125417558584,0,0,0
87,-9.40353399742421,-2.49548068657929,-1.9788816853222,0,0,0
88,-9.4240711378314,-2.53820417354729,-2.00128257347051,0,0,0
89,-9.45498519187712,-2.55051041901505,-1.95596989119259,0,0,0
90,-9.50614996162081,-2.52466009396809,-1.91138324084196,0,0,0
91,-9.50028574350957,-2.50729994124163,-1.81911077469092,0,0,0
92,-9.52069351038233,-2.50766212752592,-1.78269182520197,0,0,0
93,-9.54874411336485,-2.52546078830119,-1.80507890407909,0,0,0
94,-9.55761542265372,-2.52518431937227,-1.77161355071592,0,0,0
95,-9.53890818052808,-2.53967610724222,-1.668199077724,0,0,0
96,-9.55510567119846,-2.57494169043496,-1.65339201149512,0,0,0
97,-9.52962360322644,-2.59719450254153,-1.56932044247644,0,0,0
98,-9.54200282480863,-2.62642304294257,-1.55449781033646,0,0,0
99,-9.53642124075749,-2.63935265423886,-1.59392963059931,0,0,0
100,-9.50302773101259,-2.63989692340826,-1.56933025525608,0,0,0
101,-9.50015806827429,-2.62936513642311,-1.56856871701223,0,0,0
102,-9.50796796043904,-2.61941998138905,-1.52765627463543,0,0,0
103,-9.5017902895074,-2.63168461243214,-1.58940523070716,0,0,0
104,-9.50961034522527,-2.66713535245165,-1.68691015132584,0,0,0
105,-9.53558688933453,-2.65077218088129,-1.63857692740586,0,0,0
106,-9.53742897788655,-2.67027673822665,-1.53669100764639,0,0,0
107,-9.53284559326672,-2.66955270128413,-1.48833022010675,0,0,0
108,-9.49053930517209,-2.64673523918256,-1.45252673092488,0,0,0
109,-9.49209173855149,-2.63604924569481,-1.41383214487618,0,0,0
110,-9.44906593102208,-2.68375774052652,-1.49491053341067,0,0,0
111,-9.42643264694755,-2.68195666915837,-1.57521333493444,0,0,0
112,-9.44848878051392,-2.63326050840805,-1.5997355290466,0,0,0
113,-9.39684065786936,-2.63260721135143,-1.64726107872827,0,0,0
114,-9.413019620051,-2.6279185218592,-1.717951600781,0,0,0
115,-9.40176135183575,-2.5820983914164,-1.74242749375194,0,0,0
116,-9.43707723692177,-2.60420793907222,-1.79755698036141,0,0,0
117,-9.40928203125668,-2.62727586754206,-1.77448025013653,0,0,0
118,-9.45648375294136,-2.6265603229102,-1.78348218293445,0,0,0
119,-9.47304716550552,-2.64527538103044,-1.83114251271833,0,0,0
120,-9.47102526555691,-2.62256945085738,-1.78647652056059,0,0,0
121,-9.50889861064097,-2.57960246126902,-1.73441087689655,0,0,0
122,-9.49689730613842,-2.5768469105547,-1.77827911741551,0,0,0
123,-9.50556794808182,-2.60392467212125,-1.82295884832672,0,0,0
124,-9.47225562077885,-2.6360932575825,-1.74186150598344,0,0,0
125,-9.49709086628321,-2.65539745937545,-1.79176585003861,0,0,0
126,-9.48183372853908,-2.65331336703528,-1.75454359544793,0,0,0
127,-9.47204642826931,-2.64895222194018,-1.76568113994544,0,0,0
128,-9.46992259154331,-2.64376716313047,-1.83559681674149,0,0,0
129,-9.43352389277773,-2.65810847571312,-1.87424432983279,0,0,0
130,-9.37882742467771,-2.66132384481566,-1.95524511551997,0,0,0
131,-9.34912064935167,-2.6617719827425,-1.95817269456397,0,0,0
132,-9.35746624316207,-2.66240559354305,-1.98273444418267,0,0,0
133,-9.37904365357785,-2.64618807164439,-1.93737309180243,0,0,0
